county,transport,birthcert,work,lost,disability,family,applied,other,age,black,latino,asian,other_race,relocation,id_capable,hardship,female,white
ATASCOSA,0,0,0,0,1,0,0,0,62,0,1,0,0,0,0,1,1,0
ATASCOSA,0,0,0,0,0,0,0,1,23,0,1,0,0,0,0,0,1,0
ATASCOSA,1,0,0,0,0,0,0,0,11,0,1,0,0,0,0,1,0,0
ATASCOSA,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,1
ATASCOSA,0,0,0,0,0,0,0,1,44,0,0,0,0,1,0,0,0,1
ATASCOSA,0,0,0,1,0,0,0,0,23,0,0,0,0,0,1,0,0,1
ATASCOSA,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,1,1
ATASCOSA,1,0,0,0,1,1,0,0,74,0,0,0,0,0,0,1,1,1
ATASCOSA,0,0,0,0,0,0,0,1,71,0,1,0,0,0,1,0,1,0
ATASCOSA,0,1,0,0,0,0,0,0,59,0,0,0,0,0,0,1,1,1
ATASCOSA,0,0,0,0,1,0,0,0,54,0,1,0,0,0,0,1,1,0
ATASCOSA,0,1,0,0,0,0,0,0,76,0,0,0,0,0,0,1,1,1
ATASCOSA,0,1,0,0,0,0,0,0,86,0,1,0,0,0,0,1,1,0
ATASCOSA,0,1,0,0,0,0,0,0,63,0,0,0,0,0,0,1,1,1
ATASCOSA,0,1,0,0,0,0,0,0,66,0,0,0,0,0,0,1,1,1
ATASCOSA,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,1,1,0
AUSTIN,0,0,0,0,0,0,0,1,27,0,0,0,0,0,0,1,1,1
AUSTIN,0,0,0,1,0,0,0,0,64,0,0,0,0,0,1,0,0,1
AUSTIN,0,1,0,0,1,0,0,0,56,0,0,0,0,0,0,1,0,1
AUSTIN,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,1,0,1
AUSTIN,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,1
AUSTIN,0,0,0,1,1,0,0,0,84,0,0,0,0,0,1,0,1,1
AUSTIN,0,0,0,0,1,0,0,0,86,0,0,0,0,0,0,1,1,1
AUSTIN,0,0,0,1,0,0,0,0,45,0,0,0,0,0,1,0,0,1
AUSTIN,0,0,0,0,1,0,0,0,51,0,0,0,0,0,0,1,0,1
AUSTIN,0,0,0,1,0,0,0,0,76,0,0,0,0,0,1,0,0,1
AUSTIN,0,0,0,0,1,0,0,0,58,0,0,0,0,0,0,1,1,1
AUSTIN,1,1,0,0,0,0,0,1,77,0,0,0,0,0,0,0,1,1
AUSTIN,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1
AUSTIN,0,0,0,1,0,0,0,0,37,0,0,0,0,0,1,0,1,1
AUSTIN,0,0,0,1,0,0,0,0,24,0,0,0,0,0,1,0,1,1
AUSTIN,0,0,0,1,0,0,0,0,28,0,0,0,0,0,1,0,1,1
BAILEY,0,0,0,1,0,0,0,0,31,0,1,0,0,0,1,0,1,0
BAILEY,0,0,0,1,0,0,0,0,25,0,0,0,0,0,1,0,1,1
BANDERA,0,0,0,1,0,0,0,0,13,0,0,0,0,0,1,0,1,1
BANDERA,0,0,0,1,0,0,0,0,56,0,0,0,0,0,1,0,1,1
BANDERA,0,0,0,0,0,0,0,1,68,0,0,0,0,1,0,0,1,1
BANDERA,0,0,0,0,1,0,0,0,50,0,0,0,0,0,0,1,0,1
BANDERA,0,0,0,1,0,0,0,0,47,0,0,0,0,0,1,0,1,1
BASTROP,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,1,0,0
BASTROP,0,0,0,1,0,0,0,0,70,0,0,0,0,0,1,0,0,1
BASTROP,0,0,0,1,0,0,0,0,34,0,0,0,0,0,1,0,1,1
BASTROP,0,1,0,0,0,0,0,0,57,0,0,0,0,0,0,1,1,1
BASTROP,0,0,1,0,0,0,0,0,36,0,0,0,0,0,0,1,0,1
BASTROP,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,1,1,1
BASTROP,0,0,0,1,0,0,0,0,45,0,0,0,0,0,1,0,1,1
BASTROP,1,1,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1
BASTROP,0,0,0,1,0,0,0,0,33,0,0,0,0,0,1,0,1,1
BASTROP,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,1
BASTROP,1,1,1,1,1,0,0,0,63,0,0,0,0,0,1,0,1,1
BASTROP,0,0,0,0,0,0,0,1,44,0,0,0,0,1,0,0,0,1
BASTROP,0,0,0,0,0,0,0,1,78,0,0,0,0,0,0,1,1,1
BASTROP,0,0,0,1,0,0,0,0,80,0,0,0,0,0,1,0,0,1
BASTROP,0,1,0,0,0,0,0,0,34,0,0,0,0,0,0,1,1,1
BASTROP,0,0,0,1,1,0,0,0,55,0,0,0,0,0,1,0,0,1
BASTROP,0,0,0,1,0,0,0,0,51,0,0,0,0,0,1,0,1,1
BASTROP,0,0,0,1,0,0,0,0,30,1,0,0,0,0,1,0,0,0
BASTROP,0,0,0,0,0,0,0,1,50,0,0,0,0,1,0,0,0,1
BASTROP,0,0,0,0,0,0,0,1,49,0,0,0,0,1,0,0,0,1
BASTROP,0,0,1,0,0,0,0,0,35,0,0,0,0,0,0,1,1,1
BASTROP,0,0,0,0,0,0,0,1,42,0,0,0,0,1,0,0,0,1
BASTROP,0,0,0,1,0,0,0,0,49,0,0,0,0,0,1,0,1,1
BASTROP,0,0,1,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1
BASTROP,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,1,1,1
BASTROP,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,1
BASTROP,0,0,0,0,1,0,0,0,55,0,0,0,0,0,0,1,1,1
BASTROP,1,0,0,0,0,0,0,0,93,0,0,0,0,0,0,1,1,1
BASTROP,1,1,1,1,1,0,0,0,63,0,0,0,0,0,1,0,1,1
BASTROP,0,0,0,1,0,0,0,0,12,0,1,0,0,0,1,0,1,0
BASTROP,0,0,0,1,0,0,0,0,37,0,0,0,0,0,1,0,1,1
BASTROP,0,0,0,1,0,0,0,0,60,0,0,0,0,0,1,0,1,1
BASTROP,0,0,0,1,0,0,0,0,75,0,0,0,1,0,1,0,1,0
BASTROP,0,0,0,1,0,0,0,0,72,0,0,0,0,0,1,0,0,1
